Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.30.1.43-20.204.245.84-40520-443-6,172.30.1.43,40520,20.204.245.84,443,6,04/08/2024 03:34:37 AM,247065,8,6,1853.0,4056.0,1428.0,0.0,231.625,497.91104698960606,1448.0,0.0,676.0,747.9508005209968,23916.78303280513,56.66525003541578,19005.0,43857.705267527774,119790.0,1.0,127264.0,18180.571428571428,43974.09575669576,117787.0,4.0,242587.0,48517.40000000001,65473.75102512457,120677.0,5.0,0,0,0,0,256,208,32.38014287738044,24.28510715803533,0.0,1448.0,393.9333333333334,619.6695509551461,383990.3523809524,0,1,0,0,0,0,0,0,0.0,422.07142857142856,231.625,676.0,0,0,0,0,0,0,8,1853,6,4056,-1,330,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.30.1.43-20.204.245.84-40500-443-6,172.30.1.43,40500,20.204.245.84,443,6,04/08/2024 03:34:37 AM,247502,4,3,1773.0,0.0,1428.0,0.0,443.25,676.3447715477662,0.0,0.0,0.0,0.0,7163.578476133526,28.282599736567786,41250.333333333336,59972.907192053535,119987.0,6.0,127509.0,42503.0,68874.21236573235,121968.0,6.0,242766.0,121383.0,1974.2421330728407,122779.0,119987.0,0,0,0,0,128,112,16.161485563753022,12.121114172814766,0.0,1428.0,221.625,502.17638833382046,252181.12500000003,0,1,0,0,0,0,0,0,0.0,253.28571428571428,443.25,0.0,0,0,0,0,0,0,4,1773,3,0,-1,330,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.30.1.43-20.204.245.84-40506-443-6,172.30.1.43,40506,20.204.245.84,443,6,04/08/2024 03:34:37 AM,247536,4,3,1741.0,0.0,1428.0,0.0,435.25,678.0813004352797,0.0,0.0,0.0,0.0,7033.320405920755,28.278715015189707,41256.00000000001,59553.59396039839,119931.0,5.0,127600.0,42533.333333333336,68452.89955387817,121498.0,12.0,242213.0,121106.5,1662.4080425695731,122282.0,119931.0,0,0,0,0,128,112,16.159265722965547,12.11944929222416,0.0,1428.0,217.625,501.1797332295072,251181.125,0,1,0,0,0,0,0,0,0.0,248.7142857142857,435.25,0.0,0,0,0,0,0,0,4,1741,3,0,-1,330,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.30.1.43-20.204.245.84-40510-443-6,172.30.1.43,40510,20.204.245.84,443,6,04/08/2024 03:34:37 AM,247593,4,2,1805.0,0.0,1428.0,0.0,451.25,674.9831479377837,0.0,0.0,0.0,0.0,7290.189948827309,24.233318389453657,49518.6,64851.68158421183,121022.0,7.0,127612.0,42537.333333333336,68049.19632393416,121022.0,7.0,119974.0,119974.0,0.0,119974.0,119974.0,0,0,0,0,128,80,16.155545592969105,8.077772796484552,0.0,1428.0,257.8571428571429,534.7711125866307,285980.1428571429,0,1,0,0,0,0,0,0,0.0,300.8333333333333,451.25,0.0,0,0,0,0,0,0,4,1805,2,0,-1,43440,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.30.1.43-20.204.245.84-40524-443-6,172.30.1.43,40524,20.204.245.84,443,6,04/08/2024 03:34:37 AM,247188,4,2,1805.0,0.0,1428.0,0.0,451.25,674.9831479377837,0.0,0.0,0.0,0.0,7302.1344078191505,24.27302296227972,49437.6,62417.25112338736,121897.0,20.0,125256.0,41752.0,62110.651558327736,113131.0,20.0,121897.0,121897.0,0.0,121897.0,121897.0,0,0,0,0,128,80,16.182015308186482,8.091007654093241,0.0,1428.0,257.8571428571429,534.7711125866307,285980.1428571429,0,1,0,0,0,0,0,0,0.0,300.8333333333333,451.25,0.0,0,0,0,0,0,0,4,1805,2,0,-1,43440,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.30.1.43-20.204.245.84-40520-443-6,20.204.245.84,443,172.30.1.43,40520,6,04/08/2024 03:34:37 AM,49,3,3,606.0,0.0,303.0,0.0,202.0,174.9371315644566,0.0,0.0,0.0,0.0,12367346.938775511,122448.97959183676,9.8,6.610597552415364,21.0,4.0,40.0,20.0,14.142135623730953,30.0,10.0,45.0,22.5,10.606601717798211,30.0,15.0,0,0,0,0,96,72,61224.48979591837,61224.48979591837,0.0,303.0,86.57142857142857,147.84886105170278,21859.28571428572,0,0,0,0,1,0,0,0,1.0,101.0,202.0,0.0,0,0,0,0,0,0,3,606,3,0,-1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.30.1.43-20.204.245.84-40510-443-6,20.204.245.84,443,172.30.1.43,40510,6,04/08/2024 03:34:37 AM,118511,5,4,4056.0,0.0,1448.0,0.0,811.2,749.7967724657128,0.0,0.0,0.0,0.0,34224.67112757466,75.94231759077216,14813.875,41765.94804874797,118179.0,1.0,118208.0,29552.0,59086.66667418857,118182.0,8.0,332.0,110.66666666666666,179.58099379759912,318.0,4.0,0,0,0,0,160,92,42.19017643931787,33.752141151454296,0.0,1448.0,405.6000000000001,657.7651049830276,432654.93333333335,0,0,0,0,1,0,0,0,0.0,450.6666666666667,811.2,0.0,0,0,0,0,0,0,5,4056,4,0,-1,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.30.1.43-20.204.245.84-40524-443-6,20.204.245.84,443,172.30.1.43,40524,6,04/08/2024 03:34:37 AM,114403,4,4,4056.0,0.0,1448.0,0.0,1014.0,689.4983683809556,0.0,0.0,0.0,0.0,35453.615726860306,69.92823614765346,16343.285714285714,40872.65553200691,108984.0,22.0,113111.0,37703.66666666666,61799.400032147016,109036.0,323.0,5419.0,1806.3333333333333,1796.74604029989,3782.0,270.0,0,0,0,0,128,92,34.96411807382673,34.96411807382673,0.0,1448.0,450.6666666666667,681.0932388447267,463888.0,0,0,0,0,1,0,0,0,1.0,507.0,1014.0,0.0,0,0,0,0,0,0,4,4056,4,0,-1,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.30.1.43-20.204.244.192-36694-443-6,172.30.1.43,36694,20.204.244.192,443,6,04/08/2024 03:34:35 AM,30246805,8,13,1836.0,4755.0,1428.0,0.0,229.5,497.394066252159,1448.0,0.0,365.7692307692308,575.2140404299014,217.9073128550272,0.6942882066386847,1512340.25,6677248.868773851,29880220.0,4.0,245276.0,35039.42857142857,58964.34255790286,122266.0,5.0,30246805.0,2520567.083333333,8616230.460996233,29880246.0,5.0,0,0,0,0,256,432,0.2644907453861655,0.4297974612525191,0.0,1448.0,299.59090909090907,529.5214064732604,280392.9199134199,0,1,0,0,0,0,0,0,1.0,313.85714285714283,229.5,365.7692307692308,0,0,0,0,0,0,8,1836,13,4755,-1,330,3,0,366497.0,0.0,366497.0,366497.0,29880220.0,0.0,29880220.0,29880220.0,Benign
172.30.1.43-20.204.6.105-38676-443-6,172.30.1.43,38676,20.204.6.105,443,6,04/08/2024 03:34:36 AM,36071079,26,25,3142.0,19494.0,1440.0,0.0,120.84615384615384,312.75123562444224,1460.0,0.0,779.76,676.0635621004876,627.5387548013189,1.413875088128082,721421.58,3391170.573919332,19716810.0,1.0,35954672.0,1438186.88,4762351.265340125,19879488.0,2.0,36070909.0,1502954.541666667,4839732.628252452,19716810.0,5.0,0,0,0,0,520,532,0.7207990645358848,0.693076023592197,0.0,1460.0,435.3076923076922,612.6371007330278,375324.21719457005,0,1,0,0,0,0,0,0,0.0,443.84313725490193,120.84615384615384,779.76,0,0,0,0,0,0,26,3142,25,19494,-1,2047,9,0,1105677.5,45480.40105913755,1137837.0,1073518.0,16929777.0,3941459.8673813744,19716810.0,14142744.0,Benign
172.30.1.43-20.204.244.192-36704-443-6,172.30.1.43,36704,20.204.244.192,443,6,04/08/2024 03:34:35 AM,37274161,622,729,16681.0,928350.0,1428.0,0.0,26.818327974276546,93.00742330996272,1448.0,0.0,1273.456790123456,425.7654433599124,25353.514999304745,36.244947270577065,27610.489629629625,618334.6264493383,20000115.0,-1.0,37155000.0,59830.91787439614,911193.1985308308,20000353.0,1.0,37273923.0,51200.44368131869,844364.5576306335,20000211.0,1.0,0,0,0,0,19904,23344,16.687162992079152,19.55778427849792,0.0,1448.0,698.9874260355024,698.648982169082,488110.4002858944,0,1,0,0,0,0,0,0,1.0,699.5048112509253,26.818327974276528,1273.4567901234568,0,0,0,0,0,0,622,16681,729,928350,-1,330,91,0,3337101.5,2221693.444042292,4908076.0,1766127.0,15299860.0,6647164.367611952,20000115.0,10599605.0,Benign
172.30.1.43-20.204.244.192-60686-443-6,172.30.1.43,60686,20.204.244.192,443,6,04/08/2024 03:35:20 AM,242445,4,2,1830.0,0.0,1428.0,0.0,457.5,674.1817262430064,0.0,0.0,0.0,0.0,7548.103693621234,24.74788096269257,48489.0,66228.2037843395,124259.0,3.0,118178.0,39392.66666666666,67841.61630100902,117729.0,3.0,124259.0,124259.0,0.0,124259.0,124259.0,0,0,0,0,128,80,16.498587308461712,8.249293654230856,0.0,1428.0,261.42857142857144,535.7819385853593,287062.28571428574,0,1,0,0,0,0,0,0,0.0,305.0,457.5,0.0,0,0,0,0,0,0,4,1830,2,0,-1,43440,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
