Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
142.250.157.102-172.30.1.43-443-37046-6,172.30.1.43,37046,142.250.157.102,443,6,04/08/2024 04:49:18 AM,3257748,25,22,2646.0,10700.0,1400.0,0.0,105.84,290.794125341853,1400.0,0.0,486.3636363636365,592.4018540736995,4096.695017539724,14.427144149885136,70820.60869565218,337138.22306911304,2278671.0,1.0,3189145.0,132881.04166666666,484884.3441292025,2386151.0,3.0,979077.0,46622.71428571429,107473.26156079142,482507.0,3.0,0,0,0,0,892,732,7.674012845683583,6.753131304201553,0.0,1400.0,278.0416666666666,487.5603163268496,237715.0620567377,0,1,0,0,0,0,0,0,0.0,283.9574468085106,105.84,486.3636363636364,0,0,0,0,0,0,25,2646,22,10700,-1,289,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
142.251.8.84-172.30.1.43-443-51622-6,172.30.1.43,51622,142.251.8.84,443,6,04/08/2024 04:49:18 AM,3159288,13,11,1958.0,6388.0,1400.0,0.0,150.6153846153846,388.40668945096246,1400.0,0.0,580.7272727272727,672.4596777367534,2641.7344667532684,7.596648358744122,137360.34782608697,493222.3206959431,2388045.0,12.0,3039643.0,253303.5833333333,692647.3816652449,2443583.0,12.0,771243.0,77124.3,84285.53448717573,267007.0,151.0,0,0,0,0,416,368,4.114851194319733,3.481797164424389,0.0,1400.0,333.84,560.9032655755656,314612.4733333334,0,1,0,0,0,0,0,0,0.0,347.75,150.6153846153846,580.7272727272727,0,0,0,0,0,0,13,1958,11,6388,-1,278,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.30.1.43-213.230.210.231-59746-443-6,172.30.1.43,59746,213.230.210.231,443,6,04/08/2024 04:50:01 AM,20458532,9,12,1866.0,4768.0,1448.0,0.0,207.3333333333333,478.3387920710592,1448.0,0.0,397.3333333333333,596.1781816222598,324.2656902264541,1.0264666106052964,1022926.6,4380341.072588411,19628372.0,3.0,560221.0,70027.625,128137.31981515266,282472.0,3.0,20458532.0,1859866.5454545447,5894401.598082071,19628412.0,20.0,0,0,0,0,288,400,0.4399142616879842,0.5865523489173123,0.0,1448.0,301.54545454545456,535.4612366275787,286718.7359307359,0,1,0,0,0,0,0,0,1.0,315.9047619047619,207.3333333333333,397.3333333333333,0,0,0,0,0,0,9,1866,12,4768,-1,501,3,0,830140.0,0.0,830140.0,830140.0,19628372.0,0.0,19628372.0,19628372.0,Benign
172.30.1.43-213.230.210.231-59740-443-6,172.30.1.43,59740,213.230.210.231,443,6,04/08/2024 04:50:01 AM,20708961,74,80,2384.0,100275.0,1448.0,0.0,32.21621621621621,182.1649313100233,1448.0,0.0,1253.4375000000002,481.62806290851927,4957.226004723269,7.436394322245332,135352.68627450982,1559015.627301806,19285080.0,0.0,20455459.0,280211.76712328766,2256021.990153979,19285094.0,1.0,20708961.0,262138.74683544305,2168664.8577273004,19285093.0,1.0,0,0,0,0,2380,2576,3.5733323366633414,3.863061985581991,0.0,1448.0,662.316129032258,714.0530715737304,509871.7890238791,0,1,0,0,0,0,0,0,1.0,666.6168831168832,32.21621621621622,1253.4375,0,0,0,0,0,0,74,2384,80,100275,-1,501,4,0,1423860.0,0.0,1423860.0,1423860.0,19285080.0,0.0,19285080.0,19285080.0,Benign
172.30.1.43-213.230.210.231-59746-443-6,172.30.1.43,59746,213.230.210.231,443,6,04/08/2024 04:50:22 AM,214177,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.338070847943523,214177.0,0.0,214177.0,214177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,4.669035423971762,4.669035423971762,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,249,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.30.1.43-74.125.203.94-43222-443-6,172.30.1.43,43222,74.125.203.94,443,6,04/08/2024 04:49:22 AM,61004597,12,11,1837.0,6725.0,1400.0,0.0,153.08333333333334,406.3172648275848,1400.0,0.0,611.3636363636364,685.330033301806,140.35007886372892,0.3770207677955811,2772936.227272728,10059887.201216444,45496025.0,4.0,60790648.0,5526422.545454545,14001466.63190671,45496025.0,4.0,46023577.0,4602357.700000001,14407719.79938314,45606953.0,134.0,0,0,0,0,384,368,0.1967064875455205,0.1803142802500605,0.0,1400.0,356.74999999999994,584.2477325959239,341345.4130434783,0,1,0,0,0,0,0,0,0.0,372.2608695652174,153.08333333333334,611.3636363636364,0,0,0,0,0,0,12,1837,11,6725,-1,278,3,0,460405.0,0.0,460405.0,460405.0,45496025.0,0.0,45496025.0,45496025.0,Benign
172.30.1.43-20.204.6.105-40382-443-6,172.30.1.43,40382,20.204.6.105,443,6,04/08/2024 04:50:03 AM,21058620,18,18,2705.0,14870.0,1440.0,0.0,150.27777777777774,366.93448775040696,1460.0,0.0,826.1111111111111,690.4567021300755,834.575105111351,1.7095137288198372,601674.8571428572,3194407.3454860607,18948196.0,8.0,20903407.0,1229612.1764705882,4569118.27279374,18948428.0,8.0,21058388.0,1238728.705882353,4565799.7326585455,18948238.0,1467.0,0,0,0,0,404,392,0.8547568644099186,0.8547568644099186,0.0,1460.0,474.9999999999999,639.7908078253217,409332.27777777775,0,1,0,0,0,0,0,0,1.0,488.19444444444446,150.27777777777777,826.1111111111111,0,0,0,0,0,0,18,2705,18,14870,-1,2049,6,0,2110192.0,0.0,2110192.0,2110192.0,18948196.0,0.0,18948196.0,18948196.0,Benign
172.30.1.43-20.204.244.192-40976-443-6,172.30.1.43,40976,20.204.244.192,443,6,04/08/2024 04:50:03 AM,23077932,30,34,3374.0,22652.0,1428.0,0.0,112.46666666666664,280.2525626119674,1448.0,0.0,666.235294117647,660.9143372183871,1127.7440283644132,2.773212088500824,366316.38095238095,2383828.6197919394,18895487.0,5.0,22961295.0,791768.7931034483,3497991.2649621028,18895517.0,12.0,23077778.0,699326.6060606061,3294923.596630428,18895500.0,28.0,0,0,0,0,984,1116,1.2999431664847612,1.4732689220160629,0.0,1448.0,400.4,582.8616581145136,339727.7125000001,0,1,0,0,0,0,0,0,1.0,406.65625,112.46666666666668,666.2352941176471,0,0,0,0,0,0,30,3374,34,22652,-1,330,10,0,4182291.0,0.0,4182291.0,4182291.0,18895487.0,0.0,18895487.0,18895487.0,Benign
172.30.1.43-20.204.244.192-40976-443-6,20.204.244.192,443,172.30.1.43,40976,6,04/08/2024 04:50:26 AM,38,1,2,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,12.0,16.97056274847714,631578.947368421,78947.36842105263,19.0,1.4142135623730951,20.0,18.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0,1,0,0,32,52,26315.78947368421,52631.57894736842,0.0,24.0,12.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,2.0,16.0,0.0,12.0,0,0,0,0,0,0,1,0,2,24,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
172.30.1.43-172.30.1.97-5900-64091-6,172.30.1.43,5900,172.30.1.97,64091,6,04/08/2024 04:48:29 AM,119985207,8746,4867,7749362.0,102918.0,1460.0,0.0,886.0464212211323,677.6721844753182,536.0,0.0,21.14608588452853,43.91828887848429,65443.73424300547,113.45565291227942,8814.664046429614,39497.93469545506,1696014.0,0.0,119982546.0,13720.131046312245,50103.184703533545,1696014.0,0.0,119985207.0,24657.872379778,91530.1377264291,3950387.0,1.0,0,1,0,0,176892,99712,72.89231913397457,40.56333377830485,0.0,1460.0,576.7814014984602,683.7809627458607,467556.4050136561,0,0,0,1,1,0,0,0,0.0,576.8237713949901,886.0464212211297,21.146085884528457,0,0,0,0,0,0,8746,7749362,4867,102918,-1,1026,6835,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
